d1,d2,count
DCC0117,DCC1245,1
DCC1368,DCC1273,1
DCC0117,DCC0180,1
DCC0117,DCC0355,1
DCC0117,DCC0079,1
DCC0117,DCC0336,1
DCC0117,DCC0088,1
DCC0260,DCC0165,1
DCC0260,DCC0119,1
DCC0117,DCC1164,1
DCC0117,DCC0080,1
DCC0117,DCC1525,1
DCC1368,DCC1686,1
DCC0139,DCC0590,1
DCC1368,DCC1282,1
DCC1552,DCC0028,1
DCC0315,DCC0029,1
DCC0315,DCC1455,1
DCC0315,DCC0014,1
DCC0315,DCC0269,1
DCC0315,DCC0612,1
DCC0315,DCC1641,1
DCC1552,DCC0150,1
DCC1552,DCC0225,1
DCC0347,DCC1486,1
DCC0347,DCC0098,1
DCC1461,DCC0153,1
DCC1461,DCC0016,1
DCC1461,DCC0256,1
DCC1461,DCC0456,1
DCC1552,DCC0111,1
DCC0315,DCC0015,1
DCC1368,DCC1407,1
DCC0315,DCC0198,1
DCC1280,DCC1200,1
DCC1280,DCC0225,1
DCC1280,DCC0170,1
DCC1280,DCC0281,1
DCC1280,DCC1521,1
DCC1280,DCC1534,1
DCC1552,DCC0161,1
DCC0315,DCC0328,1
DCC1552,DCC0335,1
DCC1552,DCC1200,1
DCC1552,DCC0144,1
DCC1552,DCC0062,1
DCC1552,DCC0281,1
DCC0315,DCC0092,1
DCC1461,DCC0191,1
DCC1461,DCC0009,1
DCC1461,DCC1710,1
DCC0903,DCC0802,1
DCC1461,DCC0131,1
DCC1461,DCC1396,1
DCC0344,DCC0235,1
DCC0344,DCC0052,1
DCC0344,DCC0352,1
DCC0903,DCC1445,1
DCC0344,DCC1240,1
DCC1461,DCC1106,1
DCC0903,DCC1489,1
DCC0344,DCC1453,1
DCC0344,DCC0220,1
DCC0903,DCC1726,1
DCC0903,DCC1552,1
DCC0344,DCC1297,1
DCC1461,DCC1525,1
DCC1461,DCC0301,1
DCC1461,DCC0026,1
DCC1461,DCC1836,1
DCC1461,DCC0156,1
DCC1461,DCC0380,1
DCC1461,DCC0186,1
DCC0903,DCC0114,1
DCC0903,DCC0324,1
DCC0344,DCC0547,1
DCC1461,DCC1471,1
DCC1461,DCC1692,1
DCC1461,DCC0640,1
DCC1461,DCC1017,1
DCC1461,DCC1138,1
DCC1461,DCC0630,1
DCC1461,DCC1535,1
DCC1368,DCC0281,1
DCC1368,DCC1534,1
DCC1368,DCC1489,1
DCC1368,DCC1097,1
DCC1368,DCC1412,1
DCC1368,DCC0331,1
DCC1368,DCC1328,1
DCC1280,DCC1509,1
DCC1368,DCC0022,1
DCC1368,DCC1559,1
DCC1368,DCC0836,1
DCC0057,DCC1423,1
DCC1368,DCC0253,1
DCC1368,DCC0088,1
DCC1368,DCC0908,1
DCC1368,DCC0132,1
DCC1368,DCC0494,1
DCC0184,DCC1827,1
DCC1368,DCC0047,1
DCC1368,DCC0269,1
DCC1368,DCC1508,1
DCC1280,DCC1422,1
DCC1368,DCC0315,1
DCC1368,DCC1200,1
DCC1368,DCC0134,1
DCC1368,DCC0194,1
DCC1280,DCC0850,1
DCC1368,DCC1414,1
DCC1368,DCC1542,1
DCC1368,DCC0362,1
DCC1280,DCC1437,1
DCC1368,DCC1197,1
DCC1368,DCC0028,1
DCC1280,DCC1412,1
DCC1368,DCC1523,1
DCC0057,DCC1207,1
DCC0117,DCC0384,1
DCC0156,DCC0159,1
DCC0156,DCC1702,1
DCC0260,DCC0054,1
DCC0260,DCC0300,1
DCC1719,DCC0251,1
DCC0156,DCC0257,1
DCC0123,DCC0264,1
DCC0123,DCC0215,1
DCC0156,DCC1434,1
DCC0117,DCC0330,1
DCC0022,DCC1105,1
DCC0156,DCC0149,1
DCC0100,DCC1488,1
DCC0179,DCC0170,1
DCC0100,DCC1252,1
DCC0156,DCC0140,1
DCC0260,DCC0092,1
DCC0117,DCC1681,1
DCC0117,DCC0956,1
DCC0285,DCC0220,1
DCC0117,DCC1639,1
DCC0117,DCC0634,1
DCC0117,DCC0904,1
DCC0117,DCC1417,1
DCC0117,DCC0410,1
DCC0117,DCC0620,1
DCC0323,DCC0853,1
DCC0166,DCC1614,1
DCC0285,DCC0353,1
DCC0252,DCC1841,1
DCC0285,DCC1010,1
DCC0117,DCC0412,1
DCC0117,DCC0457,1
DCC0260,DCC1363,1
DCC0260,DCC0044,1
DCC0323,DCC0620,1
DCC0179,DCC0215,1
DCC0260,DCC1356,1
DCC0260,DCC1395,1
DCC0329,DCC1162,1
DCC0260,DCC1423,1
DCC0260,DCC1491,1
DCC0260,DCC1407,1
DCC0259,DCC0151,1
DCC0259,DCC0193,1
DCC0179,DCC0032,1
DCC0259,DCC1164,1
DCC0259,DCC1443,1
DCC0214,DCC1849,1
DCC0259,DCC0143,1
DCC0179,DCC0093,1
DCC1500,DCC0350,1
DCC0329,DCC0429,1
DCC1235,DCC1020,1
DCC1218,DCC0069,1
DCC1218,DCC1574,1
DCC0123,DCC1539,1
DCC0123,DCC1434,1
DCC0123,DCC0080,1
DCC0100,DCC1546,1
DCC0214,DCC0099,1
DCC0319,DCC0061,1
DCC0214,DCC0310,1
DCC0214,DCC0322,1
DCC0214,DCC0021,1
DCC1530,DCC0177,1
DCC1245,DCC1434,1
DCC0260,DCC1501,1
